source,target,weight
help,patient,1
people,stay,2
woman,paper,2
I,remember,3
doctor,girl,11
have,answer,1
awkward,cancer,1
health,fact,3
boy,health,13
vaccination,girl,22
learn,beat,4
expert,doctor,6
free,HIV,7
woman,cancer,44
call,vaccinate,2
read,test,3
man,visit,1
STD,information,7
Gardasil,include,2
smear,risk,4
celebrate,information,2
smear,cervical,8
stop,make,1
launch,vaccinate,1
tell,sister,1
video,early,3
vaccine,shot,10
cervical_cancer,present,8
increase,breast,2
screen,remember,1
test,day,6
make,partner,1
reduce,teens,1
cell,cause,1
read,watch,2
health,school,5
study,offer,2
experience,pap,1
CDC,safe,1
make,girl,31
type,find,1
prevent,young,1
recommend,Gardasil,2
smear,die,1
cervical_cancer,HPV_vaccine,40
scare,vaccine,2
offer,HPV,15
cervical_cancer,program,63
decide,give,2
sore,yesterday,1
health,awareness,13
post,save,1
woman,study,60
boy,cancer,8
Prevention,pap,3
cover,HPV,9
effect,health,5
female,family,1
test,beat,3
receive,top,1
start,hurt,1
problem,sign,3
smear,health,2
woman,share,6
it,learn,2
awareness,woman,7
woman,fact,2
awareness,day,5
food,Gardasil,3
vaccine,parent,1
cancer,know,2
protect,throat,12
question,breast,1
shot,pap,2
include,HPV,6
shot,save,1
shot,yesterday,4
research,UK,11
affect,half,1
HPV,event,5
man,news,4
feel,information,2
HPV,safe,16
donate,today,3
develop,show,2
think,HPV,18
today,suggest,1
coverage,grow,1
FDA,give,2
find,public,1
effective,Prevention,3
year,screen,4
student,India,1
STD,check,4
link,doctor,2
cancer,risk,71
show,cervical_cancer,14
reason,public,1
HIV,HPV,52
medicine,study,1
man,show,10
smear,Walgreens,1
parent,information,2
doctor,sound,1
warts,young,1
vaccine,support,3
issue,watch,2
cancer,promote,2
vaxfax,young,1
back,Texas,2
home,test,15
spread,awareness,21
year,January,5
girl,shot,6
cancer,word,1
school,boy,20
doctor,include,1
question,Gardasil,3
school,UK,10
Prevention,study,3
vaccine,low,3
healthy,man,4
ready,girl,1
study,million,16
call,vagina,2
screen,vaccinate,3
vax,effective,3
hot,pussy,2
plan,cancer,1
month,cervical,6
kid,sexually,1
child,HPV,8
vaccination,doctor,2
lead,oral,7
recommend,young,2
exam,mammogram,2
cure,disease,1
today,free,9
CDC,boy,11
vaccinate,MT,1
call,government,2
have,test,23
woman,problem,1
Prevention,post,2
time,free,3
million,pay,1
care,promote,1
hot,topic,3
effective,study,17
man,age,22
diagnose,reduce,3
miss,HPV,2
person,post,1
speak,doctor,5
question,genital,2
morning,raise,1
girl,high,4
cell,catch,1
smear,FDA,3
join,group,2
test,death,34
CCPW,ready,1
campaign,start,1
common,young,18
vaccine,scare,1
lady,listen,4
full,coverage,2
awareness,walk,5
spread,oral,4
Prevention,promote,2
papillomavirus,promote,1
MT,Katie,1
news,blog,5
Prevention,increase,1
health,program,17
HPV,click,13
study,help,3
about,symptom,1
bad,HPV,2
super,screen,1
coverage,include,3
kind,cancer,2
age,rise,10
medical,study,10
injection,news,1
check,free,1
love,doctor,1
debate,oral,1
HPV,cervical,93
female,follower,1
rise,stay,2
cancer,2010,1
HPV,infection,45
blog,make,1
free,vaccination,13
top,cervical,1
class,group,1
group,anal,2
health,UK,3
program,cost,3
doctor,your,3
pap_smear,pap,8
show,live,3
man,dear,1
make,boy,1
genital,test,1
smear,wan,1
sex,pap,3
show,vaccination,1
Michelle,cervical,1
remember,pap,1
kid,lead,1
talk,awareness,1
free,boy,24
patient,male,4
HPV,result,2
drop,cervical_cancer,2
child,back,2
health,dose,1
post,Michael,1
man,high,2
have,big,4
spread,word,49
rate,start,1
woman,infection,6
reaction,video,2
treat,genital,3
CDC,read,3
week,start,3
please,retweet,12
coverage,HPV,14
research,program,2
apartment,pap,1
lead,Michael,1
vaccination,clinic,1
end,HPV,2
cure,information,1
month,MT,1
sexual,transmit,2
Gardasil,prevent,12
put,young,1
health,Gardasil,28
information,time,2
vax,young,18
pap_smear,Gardasil,2
program,CDC,2
sign,oral,1
give,your,4
have,vaccination,5
HPV,jab,5
Parenthood,friend,1
party,team,2
hell,pap_smear,3
HPV,Friday,5
suggest,link,1
round,pap,1
include,HIV,1
point,care,1
exam,lead,1
medical,doctor,6
cause,human,1
Douglas,point,1
lady,study,1
piece,promote,1
vaccination,free,1
condom,it,1
diagnose,case,1
free,HPV,50
type,lead,6
detection,cervical,9
breast,exam,10
take,free,3
yeah,HPV,6
pass,year,1
family,health,5
Prevention,lady,1
it,birth,2
prevent,sexually,2
Rwanda,protect,2
condom,sex,2
vaccination,young,6
cervix,throat,2
check,link,4
male,live,1
STD,sexual,2
STD,talk,2
lower,blood,2
parent,grow,1
guess,round,1
learn,HIV,1
infection,cervix,1
interest,HPV,2
vaccine,routine,2
share,fact,1
screen,strong,2
clear,cervical,1
teens,health,15
son,take,2
cancer,guideline,2
sex,way,1
doctor,treatment,2
throat,cause,3
cancer,panel,5
prevent,rise,1
discuss,pap,1
baby,save,1
month,injection,2
Valentine,day,2
protect,anal,4
save,boy,1
cancer,rise,15
affect,cervical,3
today,blog,6
mammogram,death,2
sex,female,1
cancer,hoe,1
donate,site,2
family,foundation,1
cancer,paper,1
vaccination,stop,2
CDC,pap,2
make,condom,1
family,day,1
government,blog,2
risk,human,3
infection,CDC,9
weird,male,1
hear,family,1
doctor,visit,5
month,pap,3
vaccinate,young,2
aid,HPV,6
Life,call,2
school,health,8
time,teens,4
HPV,anal,43
benefit,regular,1
time,big,2
vaccine,rate,3
put,link,1
infection,increase,1
reduce,HPV,9
show,today,7
student,health,4
blog,article,2
