Word,POS,Frequency,,,,,Frequency
HealthDay,NNP,125,,,,,125
identify,VB,23,,70,32,,125
promiscuous,JJ,125,,,,,125
though,IN,33,,92,,,125
force,NN,13,,111,,,124
Hormones,hormones,,124,,,,124
option,NN,12,,112,,,124
wish,VBP,14,,110,,,124
advice,NN,11,,79,33,,123
Center,NNP,46,,77,,,123
danger,NN,28,,58,37,,123
joke,NN,15,,66,42,,123
painful,JJ,25,,44,54,,123
Parkers,NNPS,123,,,,,123
ready,JJ,28,,45,50,,123
religious,JJ,123,,,,,123
amazing,JJ,19,,59,44,,122
book,NN,14,,57,51,,122
sit,VBP,11,,43,36,32,122
eye,NN,21,,66,34,,121
pathogenposse,NN,70,,,51,,121
Saturday,NNP,11,,40,50,20,121
recently,RB,24,,45,51,,120
awkward,JJ,12,,64,43,,119
consent,NN,119,,,,,119
consider,VB,13,,105,,,118
dad,NN,11,,34,73,,118
song,NN,35,,50,33,,118
style,NN,32,,,86,,118
detail,NN,18,67,,32,,117
fail,VBP,22,,95,,,117
adolescent,JJ,,,47,49,20,116
client,NN,11,,105,,,116
company,NN,17,,58,41,,116
Dave,NNP,36,,,80,,116
publish,VB,27,,48,41,,116
own,JJ,26,,89,,,115
serious,JJ,24,,91,,,115
wellness,NN,34,,,81,,115
yourself,PRP,31,,84,,,115
expand,VB,18,,42,54,,114
party,NN,11,,103,,,114
probably,RB,24,,90,,,114
agree,VBP,,,68,45,,113
wear,NN,12,,40,61,,113
Dee,NNP,37,,,75,,112
message,NN,18,,53,41,,112
power,NN,35,,77,,,112
short,JJ,12,,33,,67,112
step,NN,13,,99,,,112
weird,JJ,16,,39,57,,112
Roche,NNP,16,,63,,32,111
place,NN,13,,59,38,,110
project,NN,23,,36,51,,110
scary,JJ,19,,45,46,,110
follower,NN,13,,63,33,,109
importance,NN,52,,,31,26,109
Jade,NNP,31,,78,,,109
normal,JJ,13,,53,43,,109
politics,NNS,109,,,,,109
HPVvaccine,NNP,30,,,78,,108
site,NN,35,,35,38,,108
Transmission,NNP,14,,94,,,108
approval,NN,70,,37,,,107
USB,NNP,73,,34,,,107
vaginal,JJ,15,,52,40,,107
2014,,,,1,41,64,106
coochie,NN,63,,,43,,106
experience,NN,11,,45,50,,106
list,NN,21,,48,37,,106
role,NN,11,,41,54,,106
expose,VB,11,,42,52,,105
finger,NN,12,,58,35,,105
Hepatitis,NNP,15,,41,49,,105
major,JJ,18,,46,41,,105
xx,NN,11,,94,,,105
killer,NN,15,,57,32,,104
knowledge,NN,18,,,86,,104
prove,VBP,13,,64,,27,104
Thursday,NNP,27,,39,,38,104
anything,NN,18,,85,,,103
decline,NN,33,,,70,,103
gynecologist,NN,16,,51,36,,103
nasty,JJ,38,,65,,,103
pill,NN,68,,,35,,103
seriously,RB,19,,84,,,103
conscience,conscience,,102,,,,102
glad,JJ,17,,45,40,,102
occur,VBP,14,,39,49,,102
responsible,JJ,12,,32,58,,102
