source,target,weight
Bachmann,amazing,2
Liam,Payne,1
fight,back,2
luck,luck,2
HPV,fall,2
fact,fact,1
Prevention,month,7
country,girl,5
vax,research,1
people,win,2
woman,ready,2
call,call,1
treatment,breast,1
lady,date,2
link,HPV,3
awareness,woman,5
sexual,health,8
issue,death,2
year,health,6
mom,make,2
report,part,1
today,news,2
Planned,Parenthood,1
have,read,6
hear,pay,1
mom,sister,3
treatment,start,3
wart,cure,1
Gardasil,race,2
idea,idea,1
thing,fight,1
amazing,ad,9
big,man,2
safe,safe,1
hell,get,2
exam,exam,1
vaccine,yes,1
today,sex,2
common,strain,2
enjoy,enjoy,1
lady,book,3
forget,forget,1
hope,mom,2
awareness,have,2
spread,good,2
spread,spread,1
great,article,19
Prevention,country,1
remind,book,2
cancer,guideline,1
boy,cost,2
research,research,1
win,fight,5
stay,strong,6
vaccination,have,4
guy,today,2
end,story,2
HPV,sexually,2
happy,boy,2
mammogram,mammogram,1
early,stage,1
news,give,1
kid,fun,1
HPV,word,1
woman,genital,3
develop,develop,1
doctor,HPV,11
insurance,time,2
Perry,super,3
experience,pretty,2
yeah,pap_smear,13
read,read,3
reminder,care,2
free,test,7
Perry,information,1
drug,ad,2
baby,pap,3
forward,forward,1
HPV,study,26
health,information,3
top,health,2
vaccinate,HPV,13
HIV,prevent,1
happy,enjoy,3
Layla_Hart,cervical,2
guy,regular,1
female,Life,2
help,help,3
safe,HPV,4
vaccine,you,1
develop,mouth,2
yes,girl,6
campaign,support,6
post,post,1
regular,condom,2
song,song,3
top,work,2
laptop,tablet,1
love,place,2
answer,question,2
Merck,woman,2
throat,throat,3
make,perfect,1
care,sexual,2
infection,vaccinate,1
lead,lead,1
interesting,link,1
Michael,Michael,1
research,luck,2
debate,HPV,3
cancer,symptom,1
finally,finally,1
nice,piece,4
death,death,1
coverage,vaccinate,1
check,your,3
give,cancer,2
YouTube,YouTube,2
help,prevent,26
word,finally,1
injection,cervical,2
great,bad,1
think,guy,1
active,active,1
January,cervical_cancer,46
follow,rate,1
beautiful,lady,4
awesome,campaign,2
care,campaign,1
ready,ready,2
Bachmann,chance,1
weekend,listen,1
age,start,4
commercial,good,3
shot,amazing,1
issue,issue,1
HPV,hurt,10
forward,pap,1
enjoy,pap_smear,10
HPV,question,2
cancer,important,2
diagnose,year,1
infection,oral,1
follower,follower,1
safe,pap_smear,2
sound,Gardasil,1
apparently,doctor,2
person,high,2
TRUE,sexually,1
hoe,do,1
write,blog,1
give,mom,1
face,fine,2
campaign,shot,2
follower,tonight,1
pussy,pussy,2
call,pap_smear,9
today,include,2
pap_smear,I,4
child,child,1
back,school,5
injection,end,1
woman,shit,3
finish,joke,1
take,Life,3
cover,cover,3
family,friend,1
Rwanda,girl,3
campaign,cervical,3
test,offer,1
guideline,cervical,1
yeah,yeah,3
woman,finish,1
miss,miss,8
woman,Merck,1
health,expert,2
woman,win,3
guess,I,2
work,share,2
UK,UK,1
Dre,pap,5
doctor,partner,2
Gardasil,article,3
good,prevent,11
awareness,money,2
TRUE,cover,2
Gardasil,vaccination,11
infection,girl,2
reason,doctor,3
result,result,1
infection,grow,1
January,January,2
dose,cervical,3
picture,woman,1
link,good,2
talk,issue,1
today,hope,1
stop,create,1
survivor,way,1
hour,fun,1
wart,cervical,1
bitch,bitch,2
give,kid,1
good,hope,8
pap_smear,day,16
night,hear,2
take,pap,1
week,show,2
find,friend,1
vaccinate,boy,19
find,clinic,1
Life,follow,2
shot,save,2
give,your,2
time,woman,4
beautiful,beautiful,1
boy,CDC,7
national,news,1
live,good,3
favorite,favorite,1
show,great,1
think,think,3
TRUE,safe,2
today,sore,4
HPV,die,3
parent,parent,1
lady,ad,1
reduce,reduce,1
good,tweet,1
TRUE,great,1
HPV,date,2
battle,battle,1
paper,HPV,7
learn,learn,2
Gardasil,important,2
shit,beautiful,2
kill,daughter,1
test,agree,1
support,mine,1
vax,vax,2
yeah,thing,3
Gardasil,protect,5
paper,cervical,1
date,date,1
health,disease,1
point,point,1
take,son,1
dear,sister,1
comment,share,2
herpes,herpes,5
common,HPV,10
man,change,1
question,Gardasil,1
vaccination,information,2
find,cervical_cancer,7
survivor,survivor,1
patient,pap,2
take,stage,1
hear,talk,1
STD,report,1
expert,doctor,2
cool,cool,1
type,HPV,7
baby,baby,1
follow,cervical,2
remind,schedule,1
hope,people,6
kid,sexually,1
piece,cervical,1
clear,clear,1
sound,write,1
flu,shot,22
panel,panel,4
sound,watch,1
friend,beat,2
affect,affect,1
free,program,2
special,offer,1
suggest,vaccinate,1
help,woman,18
hope,make,7
college,student,1
start,sound,1
bring,hope,2
lady,pap_smear,43
news,make,2
speak,pap,1
place,world,2
YellowUmbOrg,awesome,1
wart,cause,1
prevent,kind,1
world,lead,4
miss,fact,1
smear,leave,2
study,STD,2
research,day,3
disease,cancer,2
woman,miss,2
home,pap,2
Styles,luck,1
research,UK,4
HPV,head,9
thing,come,1
FDA,FDA,1
pass,Gardasil,2
prevent,God,2
TRUE,day,1
fund,fund,1
hurt,hurt,2
effective,effective,1
support,baby,2
heart,heart,3
shot,join,2
it,fun,5
news,boy,3
needle,needle,1
smear,baby,1
Gardasil,CDC,4
HIV,herpes,14
remember,Obamacare,1
night,pretty,2
Gardasil,young,3
smear,TV,1
vagina,vagina,4
good,care,6
doctor,give,4
remind,cervix,2
Douglas,Douglas,1
good,bad,13
wait,month,1
I,ready,2
month,make,4
job,job,1
write,write,1
support,Katie,1
FDA,fight,2
thing,day,1
give,heart,1
risk,jab,2
commercial,commercial,1
die,disease,1
Liam,Liam,1
smear,low,1
idea,answer,1
pap_smear,pap,4
man,cause,1
offer,public,1
show,interesting,3
Gardasil,adult,1
give,HIV,2
boy,amazing,4
include,include,1
special,report,1
HPV,start,4
cancer,cool,1
test,result,2
HPV,Harry,1
protection,Gardasil,3
arm,Gardasil,2
Payne,Payne,1
HPV,medicine,5
vaccination,child,1
result,pap,1
day,pap,3
boy,UK,11
event,event,1
watch,HPV,9
day,Christmas,2
shot,cervical,4
partner,partner,1
week,free,1
reason,reason,1
protect,teens,1
cure,rate,2
Gardasil,make,7
family,family,1
school,today,5
dear,have,1
help,promote,2
STD,herpes,4
body,good,2
female,female,2
woman,pap,4
follow,support,11
today,clinic,3
auction,auction,1
regular,make,2
great,job,9
HPV,warts,10
book,book,1
vaccine,boy,27
time,Gardasil,2
hair,grow,1
game,game,1
it,hope,3
protection,protection,1
good,video,3
family,mom,1
injection,leave,1
visit,visit,1
good,pussy,6
gift,gift,1
bad,Gardasil,1
love,work,3
event,tonight,2
eye,eye,1
test,report,2
interest,awareness,3
thought,Perry,4
pay,pay,1
picture,HPV,2
diagnose,diagnose,2
time,guy,1
discuss,discuss,1
school,month,1
birthday,miss,2
special,special,1
cervix,cervix,1
join,HPV,3
money,woman,2
minute,talk,1
pap_smear,cervical_cancer,28
your,health,4
cervarix,cervarix,1
wait,sex,1
ad,ad,1
breast,love,1
Perry,Merck,2
glad,do,7
debate,debate,2
wait,bitch,4
anal,anal,1
include,Gardasil,2
follow,join,11
hurt,injection,1
walk,walk,3
support,red,4
wait,PSA,1
heart,protect,1
rate,increase,2
work,raise,1
medical,medical,1
cervical_cancer,year,21
pay,blood,2
smear,HPV,4
learn,medical,1
study,show,3
age,love,1
HPV,preventable,2
vaccinate,your,1
cause,cause,2
live,work,1
make,lady,5
tell,tell,1
Gardasil,today,7
question,question,1
smear,bad,1
breast,fight,1
movie,parent,1
control,stuff,1
put,game,3
funny,real,2
doctor,pussy,1
hope,work,2
funny,face,1
app,app,1
safe,girl,2
